Question,Answer
Забота компании о работнике | Коллективный договор | Действия работника и документы для получения компенсации (Крайний Север). | Как получить компенсацию за проезд в отпуске для работников на Крайнем Севере | Порядок компенсации проезда в отпуске для работника региона Крайнего Севера | какие документы нужны для получения компенсации расходов за проезд в отпуске для работника на Крайнем Севере |  |  | ,"Работник обязан в течение 3 рабочих дней с даты выхода на работу из отпуска подать на имя руководителя филиала или структурного подразделения оао «ржд», в котором он работает, авансовый отчет (в случае если работнику был выдан аванс), заявление о компенсации расходов, представить данные о сумме, подлежащей компенсации, и приложить оригиналы проездных документов, подтверждающих расходы работника, а также в случае необходимости документы: 
- справки о стоимости проезда в соответствии с установленной категорией проезда на дату приобретения билета, выданной работнику транспортной организацией, 
- чеки автозаправочных станций, указывающие на расходы по оплате стоимости израсходованного топлива, доверенность в простой письменной форме, 
- расписка о предоставлении работником денежных средств третьему лицу, платежное поручение на перечисление денежных средств работником на счет третьего лица,  
- справки о стоимости проезда работника (детей работника) и провоза его (их) багажа воздушным транспортом по территории российской федерации, включенной в стоимость перевозочного документа (билета), выданной транспортной организацией (указанная в справке стоимость определяется транспортной организацией как процентная часть стоимости воздушной перевозки согласно перевозочному документу, соответствующая процентному отношению расстояния, рассчитанного по ортодромии маршрута полета воздушного судна в воздушном пространстве российской федерации, к общей ортодромии маршрута полета воздушного судна (если отпуск за пределами рф),
- перевозочных документов (если отпуск за пределами рф),
- копий соответствующих страниц заграничного паспорта (при предъявлении оригинала заграничного паспорта) с отметкой органа пограничного контроля (пункта пропуска) о пересечении государственной границы российской федерации.
заявление работника о компенсации расходов с прилагаемыми документами передается в подразделение, осуществляющее бухгалтерский и налоговый учет, не позднее одного месяца после использования работником отпуска.  "
"Забота компании о работнике | Коллективный договор, льготный проезд | Компенсация перелета до Черноморского побережья для работников ДВОСТ и ЗАБ, нюансы и тонкости. | Особенности предоставления компенсации за перелет к морю работникам ЗАБ и ДВОСТ |  |  | бесплатно съездить на море для работника ЗАБ | компенсация за проезд на море для работника ДВОСТ | ","Данный вопрос регламентирован распоряжением оао «ржд» от 23.08.2019 n 1874/р (ред. от 16.02.2021)
«об утверждении порядка компенсации работникам филиалов и структурных подразделений оао «ржд», осуществляющим трудовую деятельность в границах забайкальской железной дороги, дальневосточной железной дороги, а также байкало-амурской магистрали от ст. лена до ст. советская гавань, расходов на оплату стоимости проезда и провоза багажа к месту проведения отпуска на черноморском побережье российской федерации и обратно воздушным транспортом, а также расходов на оплату стоимости проезда и провоза багажа находящихся на их иждивении несовершеннолетних детей и иных несовершеннолетних лиц в возрасте до 18 лет».  "
"Забота компании о работнике | Коллективный договор | Какие выплаты полагаются сотруднику ОАО «РЖД» в связи с беременностью, родами и в течение отпуска по уходу за ребенком? | Размер выплаты по беременности и родам, предоставляемый Компанией? | В каком размере компании производит выплаты по беременности и родам? |  | выплаты по беременности и родам | размер декретных | ","В соответствии с коллективным договором оао «ржд» на 2023-2025 годы, работнику оао «ржд» (одному из родителей) при рождении или усыновлении (в любом возрасте) ребенка выплачивается материальная помощь на каждого ребенка сверх пособия, установленного законодательством рф в размере:
в 2023 году - 5 775 рублей, в 2024 году - 6 050 рублей, в 2025 году – 6 300 рублей.
также работодателем, за счет средств фонда социального страхования рф, к пособию по беременности и родам производится доплата, выплачиваемая для доведения общего размера выплаты до среднемесячного заработка работника. 
работникам оао «ржд», находящимся в отпуске по уходу за ребенком в возрасте от 1,5 до 3 лет выплачивается ежемесячное пособие на каждого ребенка в размере:
в 2023 году - 5 775 рублей, в 2024 году - 6 050 рублей, в 2025 году – 6 300 рублей.
при этом до достижения ребенком возраста 1,5 лет пособие выплачивается за счет средств фонда социального страхования в размере, определенном законодательством рф.  "
"ЗОЖ | спорт, компенсация | Как возмещаются занятия спортом согласно кол договора | Каким образом осуществляется возмещение средств за занятия спортом, согласно коллективному договору?  | Как можно возместить средства, потраченные на занятия спортом? | Как возмещаются средства за занятия спортом с учётом коллективного договора? | Как возместить деньги за спорт. занятия? | Как согласно кол. договору вернуть деньги за спорт? | Как по кол. договору возвращать деньги за спорт. занятия?","Согласно п. 7.33 кд ""осуществлять частичную компенсацию затрат работников на занятия физической культурой в порядке, установленном в компании с учетом мотивированного мнения выборного органа профсоюза, из расчет 400 рублей на одного работника в год.  "
"ЗОЖ | спорт, фитнес | Возможности занятий спортом в компании | Какие есть возможности для занятий спортом в компании? | Как компания поддерживает сотрудников в занятиях спортом? | Какие возможности предоставляет компания для занятий спортом? | Какие возможности для занятий спортом? | Что предоставляет компания для занятий спортом? | Возможный спорт в компании?","Вы можете заниматься в секции от оао «ржд», а также компенсировать занятия в фитнес клубе.

подробнее в положении о физкультурно-спортивных клубах в оао «ржд», утвержденное распоряжением оао «ржд» от 16 февраля 2022 г. №377/р  
"
ЗОЖ | спорт | Льготы на занятия спортом | Какие есть льготы на занятия спортом? | Есть ли льготы на занятия спортом? | Предоставляются ли льготы на занятия спортом? | Льготы на спорт занятия? | Дают льготы на спорт? | Предоставляются льготы на спорт занятия?,"Компания частично компенсирует затраты на занятия физической культурой из расчета 400 руб. на одного работника в год (в соответствии с пунктом 7.33 коллективного договора оао «ржд» на 2023-2025 годы).
право на частичную компенсацию затрат имеют работники, не занимающиеся в физкультурно-спортивных клубах компании.
размер компенсации устанавливается комиссией в процентах от полной стоимости абонемента, исходя из средств, предусмотренных в бюджете предприятия на эти цели с учетом поданных заявлений, но не более 20 000 (двадцать тысяч) рублей одному работнику в год. комиссия выносит решение о предоставлении компенсации работнику и сумме компенсации (в рублях).  "
"ЗОЖ | Профсоюз | Проводятся ли культурно-массовые, творческие, спортивные мероприятия для работников? | Организуются ли культурно-массовые, творческие, спортивные мероприятия для работников? | Где узнать о проведении культурно-массовых, творческих, спортивных мероприятиях для работников? | Проводятся ли культурно-массовые, творческие, спортивные мероприятия для работников? | Что проводится для сотрудников? | Какие мероприятия есть для сотрудников? | Как поучаствовать в досуговой деятельности?","Узнать о предстоящих соревнованиях можно из утвержденного единого плана физкультурных и массовых спортивных мероприятий оао «ржд», а также в приложении «пульс».

скачать приложение «пульс» можно по ссылке pulse.mp.rzd.ru и войти через сервисный портал работника оао «ржд»

данная деятельность регламентируется положением о развитии в оао «ржд» массовой физической культуры и спорта среди работников компании и членов их семей, утвержденное распоряжением оао «ржд» от 5 августа 2019 г. №1686/р.  "
ЗОЖ | Профсоюз | Спортивная программа для работников. | Какие меры поддержи в спортивной сфере есть в компании? | Какие спортивные секции доступны сотрудникам? | Какие меры поддержки занятий спортом есть для сотрудников? | Какие спорт секции для сотрудников? | Меры поддержи в спорт сфере есть в компании? | ,"Узнать о предстоящих соревнованиях вы можете из утвержденного единого плана физкультурных и массовых спортивных мероприятий оао «ржд», а также в приложении «пульс».

скачать приложение «пульс» можно по ссылке pulse.mp.rzd.ru и войти через сервисный портал работника оао «ржд»

данная деятельность регламентируется положением о развитии в оао «ржд» массовой физической культуры и спорта среди работников компании и членов их семей, утвержденное распоряжением оао «ржд» от 5 августа 2019 г. №1686/р.  "
Жилищная политика | ипотека | Как получить льготную ипотеку | Как получить ипотеку? | Как получить льготную ипотеку от ОАО «РЖД» | Куда обратиться для получения ипотечного кредитования? |  |  | ,"Подать документы для постановки на учет для предоставления корпоративной поддержки при приобретении жилья в собственность в отдел кадров подразделения по месту работы/соответствующую жилищную комиссию Узнать подробнее Основанием постановки на учет является нуждаемость в улучшении жилищных условий, которая определяется ст.51 жк рф, требуемый стаж работы в оао «ржд» не менее 3-х лет, должность/профессия/категория учтена в перечне профессий работников, которые могут воспользоваться корпоративной поддержкой оао «ржд». молодые специалисты, принятые в оао «ржд» после окончания образовательной организации на основании договора о целевой подготовке, договора по доп. проф. образованию (авторский класс) или направленные на работу по заявке подразделения оао «ржд», ставятся на учет независимо от стажа работы в оао «ржд» и занимаемой должности. при оформлении субсидированного ипотечного кредита указанная категория работников выплачивает ставку 2%, остальные - 4,5%"
Жилищная политика | ипотека | В каких случаях работник ОАО «РЖД» может быть снят с учета для предоставления корпоративной поддержки? | Отказ в учете на предоставление корпоративной поддержки |  |  | Снятие с учета на ипотеку | Сняли с учета на корпоративную поддержку | ,"Решением жилищной комиссии работник может быть снят с учета по следующим действиям работника или членов его семьи с целью намеренного ухудшения своих жилищных условий Узнать подробнее Решением жилищной комиссии работник может быть снят с учета по следующим действиям работника или членов его семьи с целью намеренного ухудшения своих жилищных условий: 
- изменения порядка пользования жилым помещением путем совершения сделок;
- обмена жилыми помещениями;
- невыполнения условий договоров о пользовании жилыми помещениями, повлекшее выселение граждан в судебном порядке;
изменения состава семьи, в том числе в результате расторжения брака;
- вселения в жилое помещение иных лиц, не являющихся членами семьи (за исключением вселения временных жильцов);
- выделения доли или изменение долей собственниками жилых помещений;
- отчуждения имеющегося в собственности работника и членов его семьи жилого помещения, либо доли жилого помещения;
- самостоятельного улучшения работником или членами его семьи жилищных условий;
- увольнения из оао «ржд», в том числе в связи с выходом на пенсию;
- увольнения из оао «ржд» в связи со службой в рядах вооруженных сил российской федерации. при этом по окончании службы и восстановлении трудовых отношений с оао «ржд» работник оао «ржд» может быть восстановлен на учете по дате первоначальной постановки на учет в соответствии с решением жилищной комиссии;
- утраты оснований для предоставления корпоративной поддержки или не предоставления документов, подтверждающих основания нахождения на учете для предоставления корпоративной поддержки в течение трех месяцев после запроса жилищной комиссии;
- получения финансовой помощи (субсидии) для улучшения жилищных условий от органов государственной власти или местного самоуправления;
- оказания корпоративной поддержки по одной из форм, предусмотренных п. 1 раздела i правил предоставления работникам оао «ржд» корпоративной поддержки при приобретении ими жилых помещений в собственность (участии в долевом строительстве), утвержденных распоряжением оао «ржд» № 1555/р от 21.07.2020;
- отказа от приобретения жилого помещения с корпоративной поддержкой оао «ржд» по причине неплатежеспособности. при достижении платежеспособности в течение двух лет с даты снятия с учета работник может быть восстановлен на учете для предоставления корпоративной поддержки по первоначальной дате, на основании личного заявления в соответствии с решением жилищной комиссии.
"
Забота о работниках | Статус молодого специалиста | До достижения какого возраста сохраняется статус молодого специалиста в ОАО «РЖД»? | Как долго буду считаться молодым специалистом в компании? |  |  | возраст молодого специалиста? |  | ,До наступления возраста 30 лет.   
Коллективный договор | день без содержания | О возможности взять день без содержания на 1 сентября | Как оформить день без содержания на 1-ое сентября |  |  |  | взять б/с на день знаний | заявление  б/с на день знаний,"В соответствии с п. 7.18 коллективного договора оао «ржд» на 2023-2025 годы работодатель обязан предоставлять работникам - одному из родителей (опекунов) детей, обучающихся в общеобразовательных учреждениях, один день отпуска без сохранения заработной платы в день знаний (1 сентября) или в другой первый день начала занятий. указанный день отпуска предоставляется по заявлению работника.

работники, являющиеся участниками электронного документооборота в сфере трудовых отношений в оао «ржд», направляют заявление посредством сервисного портала работника, руководителя и неработающего пенсионера оао «ржд».  "
"Режим труда и отдыха | б/с | Сколько можно брать б/с в год? | Ограничено ли количество дней отпуска без содержания, которые я могу взять? |  |  | количество дней б/с в год |  | ","По семейным обстоятельствам и другим уважительным причинам работнику по его письменному заявлению может быть предоставлен отпуск без сохранения заработной платы, продолжительность которого определяется по соглашению между работником и работодателем. таким образом, работник и работодатель вправе договориться о любой продолжительности отпуска без сохранения заработной платы. Подробнее Согласно ст. 128 тк рф по семейным обстоятельствам и другим уважительным причинам работнику по его письменному заявлению может быть предоставлен отпуск без сохранения заработной платы, продолжительность которого определяется по соглашению между работником и работодателем. таким образом, работник и работодатель вправе договориться о любой продолжительности отпуска без сохранения заработной платы.

некоторым категориям работников работодатель обязан на основании письменного заявления работника предоставить отпуск без сохранения заработной платы.

согласно п. 5.25 коллективного договора оао «ржд» на 2023-2025 годы работодатель обязан предоставлять, при наличии производственных возможностей, по заявлению, поданному в письменной или электронной форме в установленном порядке, отпуск без сохранения заработной платы продолжительностью до 14 календарных дней в календарном году в удобное для него время:
работнику, имеющему ребенка в возрасте до 14 лет;
работнику, имеющему ребенка-инвалида в возрасте до 18 лет;
работникам, осуществляющим уход за членом семьи или иным родственником, являющимся инвалидом i группы;
работнику – волонтеру.
такой отпуск по заявлениям работников указанных категорий, поданным в письменной или электронной форме в установленном порядке, может быть присоединен к ежегодному оплачиваемому отпуску или использован отдельно полностью либо по частям. перенесение этого отпуска на следующий год не допускается.

работники, являющиеся участниками электронного документооборота в сфере трудовых отношений в оао «ржд», направляют соответствующее заявление посредством сервисного портала работника, руководителя и неработающего пенсионера оао «ржд»."
Коллективный договор | информация о компании | Где посмотреть коллективный договор нашей компании? |  | Где могу ознакомиться с коллективным договором? |  | ссылка на кол договор | кол договор компании | текст кол договора,"Получить подробную информацию о льготах и гарантиях, предоставляемых коллективным договором, работник может:
- у специалистов по управлению персоналом;
- в профсоюзной организации;
- на сервисном портале работника;
- в блогах на сервисном портале работника («трансформация социальной сферы», «социальная защита», «окно в мир жилищной политики оао «ржд», «волонтеры ржд»).

также в оао «ржд» разработан путеводитель по льготам с пошаговым алгоритмом их предоставления Подробнее о путеводителе Это приложение к коллективному договору, которое разъясняет предоставление льгот в простом и доступном формате с пошаговым алгоритмом. 
путеводитель структурирован в пакетные предложения под жизненные ситуации работника и включает в себя 11 тематических блоков:
1. бесплатный проезд.
2. отпуск. 
3. здоровье.
4. досуг.
5. семья (семейное благополучие).
6. компенсируемый социальный пакет. бонусный пакет.
7. молодежь.
8. комфортные условия
9. перед выходом на пенсию.
10. корпоративное волонтерство.
11. здоровый образ жизни."
Молодежная политика | целевая программа | Что такое молодежная политика? | Что включает в себя молодежная политика РЖД? |  | Что подразумевает молодежная политика ОАО «РЖД» | Мол политика РЖД  |  | ,"Молодежная политика оао «ржд» - это комплексная система для создания условий по развитию молодых работников, их профессионального и личностного развития, а также творческой самореализации. 

основополагающим документом по реализации молодежной политики является целевая программа «молодежь оао «ржд», в которой ты сможешь узнать более подробно об основных направлениях работы с молодежью.

узнать детальную информацию о проводимых молодежных мероприятиях можно на сервисном портале в разделе ""молодежь ржд"", а также в социальных сетях ""молодежь ржд"":
телеграм: https://t.me/molodezrzd
вконтакте: https://vk.com/molodezrzd  "
"Адаптация | стажировка, стажировка по охране труда на рабочем месте | Где посмотреть документ по стажировке по ОТ? | Порядок прохождения стажировки по ОТ | Как организуется стажировка по ОТ? |  | док по стажировке по ОТ | организация стажировки по ОТ | стажировка по ОТ какие доки","Требования к организации и проведению стажировки по охране труда на рабочем месте работников оао «ржд» содержатся в подразделе 7.4 сто ржд 15.011-2023 «система управления охраной труда в оао «ржд». организация обучения», утвержденным распоряжением оао «ржд» от 17 апреля 2023 г. № 947/р.                                                                                       Привести цитаты из указанного документа? Основные (общие) требования к организации и проведению стажировки по охране труда на рабочем месте работников оао «ржд» содержатся в подразделе 7.4 сто ржд 15.011-2023 «система управления охраной труда в оао «ржд». организация обучения», утвержденного распоряжением оао «ржд» от 17 апреля 2023 г. № 947/р
в соответствии с п. 7.4.4: «отдельные требования к порядку проведения стажировки на рабочем месте, к руководителям стажировки, а также к продолжительности и месту ее проведения устанавливают распорядительным документом филиала оао «ржд» или его структурного подразделения, с учетом мнения выборного органа первичной профсоюзной организации.»
"
Заработная плата | сверхурочная работа | Как оплачивается работа в выходные и праздничные дни? |  |  |  | работа в выходные | переработка  | работа в праздничные,"Работа в выходные и нерабочие праздничные дни оплачивается не менее чем в двойном размере. по желанию работника ему может быть предоставлен другой день отдыха (при этом работа в выходной или нерабочий праздничный день оплачивается в одинарном размере, а день отдыха оплате не подлежит). порядок компенсации за работу в выходные и нерабочие праздничные дни не зависит от должности, занимаемой работником.

сверхурочная работа оплачивается за первые два часа работы не менее чем в полуторном размере, за последующие часы - не менее чем в двойном размере. по желанию работника сверхурочная работа вместо повышенной оплаты может компенсироваться предоставлением дополнительного времени отдыха, но не менее времени, отработанного сверхурочно. порядок компенсации за сверхурочную работу не зависит от должности, занимаемой работником. Рассказать подробнее Согласно ст. 113 тк рф привлечение работников к работе в выходные и нерабочие праздничные дни производится с их письменного согласия (кроме случаев, установленных действующим законодательством).

работодатель в обязательном порядке (до момента привлечения):
получает письменное согласие работника на привлечение к работе в выходные и нерабочие праздничные дни;
получает мотивированное мнение выборного органа первичной профсоюзной организации;
издает приказ о привлечении к работе в выходные и нерабочие праздничные дни и знакомит работника с ним под роспись.

получение согласия работников, являющихся участниками электронного документооборота в сфере трудовых отношений в оао «ржд», а также ознакомление их с приказом о привлечении к работе в выходные и нерабочие праздничные дни осуществляется посредством сервисного портала работника, руководителя и неработающего пенсионера оао «ржд».

согласно ст. 153 тк рф работа в выходные и нерабочие праздничные дни оплачивается не менее чем в двойном размере. по желанию работника ему может быть предоставлен другой день отдыха (при этом работа в выходной или нерабочий праздничный день оплачивается в одинарном размере, а день отдыха оплате не подлежит). порядок компенсации за работу в выходные и нерабочие праздничные дни не зависит от должности, занимаемой работником.

согласно ст. 99 тк рф привлечение работников к сверхурочной работе производится с их письменного согласия (кроме случаев, установленных действующим законодательством).

работодатель в обязательном порядке (до момента привлечения):
получает письменное согласие работника на привлечение к сверхурочной работе;
получает мотивированное мнение выборного органа первичной профсоюзной организации;
издает приказ о привлечении к сверхурочной работе и знакомит работника с ним под роспись.

продолжительность сверхурочной работы не должна превышать для каждого работника 4 часов в течение двух дней подряд и 120 часов в год.

согласно ст. 152 тк рф сверхурочная работа оплачивается за первые два часа работы не менее чем в полуторном размере, за последующие часы - не менее чем в двойном размере. по желанию работника сверхурочная работа вместо повышенной оплаты может компенсироваться предоставлением дополнительного времени отдыха, но не менее времени, отработанного сверхурочно. порядок компенсации за сверхурочную работу не зависит от должности, занимаемой работником."
Заработная плата | сверхурочная работа | Что делать если не оплачивают сверхурочную работу? | Как оплачивается сверхурочная работа |  |  | оплата сверхурочки | сверхурочка | Как высчитывается сверхурочная работа?,"Работа в выходные и нерабочие праздничные дни оплачивается не менее чем в двойном размере. по желанию работника ему может быть предоставлен другой день отдыха (при этом работа в выходной или нерабочий праздничный день оплачивается в одинарном размере, а день отдыха оплате не подлежит). порядок компенсации за работу в выходные и нерабочие праздничные дни не зависит от должности, занимаемой работником.

сверхурочная работа оплачивается за первые два часа работы не менее чем в полуторном размере, за последующие часы - не менее чем в двойном размере. по желанию работника сверхурочная работа вместо повышенной оплаты может компенсироваться предоставлением дополнительного времени отдыха, но не менее времени, отработанного сверхурочно. порядок компенсации за сверхурочную работу не зависит от должности, занимаемой работником. Подробнее Согласно ст. 113 тк рф привлечение работников к работе в выходные и нерабочие праздничные дни производится с их письменного согласия (кроме случаев, установленных действующим законодательством).

работодатель в обязательном порядке (до момента привлечения):
получает письменное согласие работника на привлечение к работе в выходные и нерабочие праздничные дни;
получает мотивированное мнение выборного органа первичной профсоюзной организации;
издает приказ о привлечении к работе в выходные и нерабочие праздничные дни и знакомит работника с ним под роспись.

получение согласия работников, являющихся участниками электронного документооборота в сфере трудовых отношений в оао «ржд», а также ознакомление их с приказом о привлечении к работе в выходные и нерабочие праздничные дни осуществляется посредством сервисного портала работника, руководителя и неработающего пенсионера оао «ржд».

согласно ст. 153 тк рф работа в выходные и нерабочие праздничные дни оплачивается не менее чем в двойном размере. по желанию работника ему может быть предоставлен другой день отдыха (при этом работа в выходной или нерабочий праздничный день оплачивается в одинарном размере, а день отдыха оплате не подлежит). порядок компенсации за работу в выходные и нерабочие праздничные дни не зависит от должности, занимаемой работником.

согласно ст. 99 тк рф привлечение работников к сверхурочной работе производится с их письменного согласия (кроме случаев, установленных действующим законодательством).

работодатель в обязательном порядке (до момента привлечения):
получает письменное согласие работника на привлечение к сверхурочной работе;
получает мотивированное мнение выборного органа первичной профсоюзной организации;
издает приказ о привлечении к сверхурочной работе и знакомит работника с ним под роспись.

продолжительность сверхурочной работы не должна превышать для каждого работника 4 часов в течение двух дней подряд и 120 часов в год.

согласно ст. 152 тк рф сверхурочная работа оплачивается за первые два часа работы не менее чем в полуторном размере, за последующие часы - не менее чем в двойном размере. по желанию работника сверхурочная работа вместо повышенной оплаты может компенсироваться предоставлением дополнительного времени отдыха, но не менее времени, отработанного сверхурочно. порядок компенсации за сверхурочную работу не зависит от должности, занимаемой работником."
Оплата труда | Начисление заработной платы | Почему работникам с суммированным учетом рабочего времени не оплачивается в двойном размере работа в субботу-воскресенье? |  |  |  | оплата в двойном | оплата в выходные дни | Оплат в двойном размере в субботу и воскресенье?,"В соответствии со статьей 111 тк рф у работодателей, приостановка работы у которых в выходные дни (суббота-воскресенье) невозможна по производственно-техническим и организационным условиям, выходные дни предоставляются в различные дни недели поочередно каждой группе работников согласно правилам внутреннего трудового распорядка. Подробнее В соответствии со статьей 111 тк рф у работодателей, приостановка работы у которых в выходные дни (суббота-воскресенье) невозможна по производственно-техническим и организационным условиям, выходные дни предоставляются в различные дни недели поочередно каждой группе работников согласно правилам внутреннего трудового распорядка. если такой работник будет привлечен к работе в выходной день, установленный ему правилами внутреннего трудового распорядка и графиком сменности, то этот день будет оплачен в двойном размере, либо по желанию работника, работавшего в выходной или нерабочий праздничный день, ему может быть предоставлен другой день отдыха. в этом случае работа в выходной день оплачивается в одинарном размере, работа в нерабочий праздничный оплачивается в двойном размере, а день отдыха оплате не подлежит."
Организация труда | Заработная плата | Где получить расчетный лист? |  |  |  | Расчетка | где расчетный лист? | где смотреть зп?,"При выплате заработной платы работодатель обязан извещать работника расчетным листком (в письменной форме или при согласии работника в электронной форме посредством сервисного портала работника).

при выплате заработной платы работодатель обязан извещать работника расчетным листком (в письменной форме или при согласии работника в электронной форме посредством сервисного портала работника).  "
Заработная плата | индексация | Как часто индексируется зарплата? |  |  |  | индексация | как часто индексируют з/п? | Частота индексации зарплаты?,Для повышения реальных доходов работников оао «ржд»  заработная плата индексируется не реже двух раз в год в связи с прогнозируемым министерством экономического развития российской федерации ростом потребительских цен на товары и услуги.  
Заработная плата | индексация | Какой процент индексации ожидается в 2024 году? |  |  |  |  | процент индексации на 2024 г? | Частота индексации зарплаты в 2024?,"Для повышения реальных доходов работников оао «ржд»  заработная плата индексируется не реже двух раз в год в связи с прогнозируемым министерством экономического развития российской федерации ростом потребительских цен на товары и услуги.
с 1 февраля 2024 года заработная плата работников компании проиндексирована на 4%, в том числе опережающим темпом на 1,8%.    "
"Заработная плата | индексация, Коллективный договор, заработная плата | Как получить больше денег? | Каким образом я могу увеличить мой доход в компании? |  |  | способы увеличить зп |  | ","Заработная плата работников компании формируется из следующих составных частей: тарифная ставка (должностной оклад); выплаты компенсационного характера; выплаты стимулирующего характера; премии согласно положению о премировании филиала, структурного подразделения филиала или структурного подразделения оао «ржд».
каждому работнику компании при наличии соответствующего уровня образования предоставляется возможность реализовать свой профессиональный потенциал, и, соответственно, повысить уровень своей заработной платы. 
кроме того, на сервисном портале работника оао «ржд» есть возможность смоделировать свой доход в разделе ""мой доход - мой возможный доход"", исходя из утвержденной в компании системы оплаты труда.  "
Заработная плата | отпуск | Сумма отпускных | Как рассчитывается сумма отпускных? |  |  | оплата отпуска | расчет отпускных | сумма отпускных,"Дни отпуска работникам рассчитываются по среднему дневному заработку.

оплата отпуска производится не позднее чем за три дня до его начала. отпускные работникам считают по среднему дневному заработку. при расчете нужно руководствоваться:
- статьей 139 трудового кодекса;
- особенностями порядка исчисления средней заработной платы, утвержденными постановлением правительства рф от 24.12.2007 n 922.
  "
"Заработная плата | преданность | Что такое ""преданность""? | Кому положена преданность? |  |  | преданность | выслуга | ","В оао «ржд» за непрерывную продолжительную работу в компании выплачивается единовременное вознаграждение за преданность компании.
 Подробнее о размерах единовременного вознаграждения В оао «ржд» за непрерывную продолжительную работу в компании выплачивается единовременное вознаграждение за преданность компании. вознаграждение выплачивается в следующих размерах:
- 2 месячные тарифные ставки (должностных оклада) - 
при непрерывной продолжительности работы 3 года;
- 3 месячные тарифные ставки (должностных оклада) - 
при непрерывной продолжительности работы 5 лет;
- 4 месячные тарифные ставки (должностных оклада) - 
при непрерывной продолжительности работы 10 лет;
- 5 месячных тарифных ставок (должностных оклада) - 
при непрерывной продолжительности работы 15 лет и далее через каждые 5 лет непрерывной работы.
"
"Оплата труда | Начисление заработной платы | Кому выплачиваются компенсации за разъездной характер работы? | Мне положены суточные, если направляют в командировку? |  | Кому выплачиваются суточные? | категории работников, кому выплачиваются суточные |  | ","В соответствии положением о возмещении расходов, связанных 
со служебными поездками работников филиалов оао «ржд», постоянная работа которых осуществляется в пути следования железнодорожного подвижного состава или имеет разъездной характер, утвержденным распоряжением № 2343р от 31 октября 2011 г., устанавливаются компенсационные выплаты (суточные) для возмещения дополнительных расходов, связанных с проживанием вне места постоянного жительства, и расходов на питание в служебных поездках следующим работникам: 
- постоянная работа, которых осуществляется в пути следования железнодорожного подвижного состава (это обслуживание вагонов, поездов, рефсекций, а также локомотивные бригады);
- постоянная работа которых имеет разъездной характер, 
т.е. выполняющим работу на линии вне места расположения структурного подразделения или постоянного пункта сбора; 
- или выполняющим работы на отдаленных объектах, когда нет возможности ежедневно возвращаться к месту жительства.
перечень профессий и должностей работников, которым выплачиваются суточные, устанавливает руководитель филиала оао «ржд» с учётом мнения профсоюза. 

 Подробнее Суточные выплачиваются:
- за каждые сутки нахождения в поездке при выполнении работы в пути следования железнодорожного состава, при этом время в поездке 12 и более часов, но менее полных суток, учитывается как одни сутки; 
- за каждую поездку туда и обратно продолжительностью не менее
7 часов работникам локомотивных бригад при работе с пассажирскими поездами;
- за каждую поездку туда и обратно работникам локомотивных бригад при работе с грузовыми (кроме передаточных и вывозных) и пригородных поездами:
- продолжительностью не менее 7 часов - в одинарном размере;
- продолжительностью не менее 12 часов при работе не менее чем
на 3 участках обслуживания локомотивных бригад с предоставлением второго отдыха в пункте оборота (подмены) - в двойном размере. 
работающим на отдаленных объектах, когда нет возможности ежедневно возвращаться к месту жительства, суточные выплачиваются за каждые сутки нахождения на таких объектах.
выполняющим работу на линии вне места расположения структурного подразделения или постоянного пункта сбора суточные выплачиваются за каждую поездку, если проезд от места расположения структурного подразделения или постоянного пункта сбора до места выполнения работы и обратно осуществляется в нерабочее время и превышает два часа. если проезд к месту работы и обратно осуществляется в рабочее время, в пределах графика, либо служебные поездки совершаются 
в пределах железнодорожного узла или станции, суточные за такую поездку не выплачиваются.
размер суточных с 1 февраля 2024 г. составляет 309,05 руб., индексируется одновременно с заработной платой."
